gene,pathway,effect_size,adjusted_p_value,gene_signal,direction,dataset_name,comparison,cell_type
ATM,DNA_repair,0.792716107620199,6.06297717214971e-56,7.9271610762019895,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell
ATM,DNA_repair,0.683371457532247,4.63217608356161e-34,6.83371457532247,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell
ATM,DNA_repair,0.6381929845689,3.13091339394592e-81,6.381929845688999,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell
ATM,DNA_repair,0.505733275689833,3.37717121646917e-132,5.0573327568983295,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell
ATR,DNA_repair,0.419501773948361,1.36329841674805e-10,4.138556605445287,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell
ATM,DNA_repair,0.392825970032616,3.01322653285855e-31,3.92825970032616,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell
ATM,DNA_repair,0.345612009199848,6.50743197701977e-116,3.4561200919984802,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk
ATR,DNA_repair,0.423728977831044,1.41331456625811e-07,2.902442296825451,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other
XRCC5,DNA_repair,0.302384677445719,8.41030281282907e-06,1.5346591973781722,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other
ATR,DNA_repair,0.269016602686105,0.000110431862662352,1.0644733023327975,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell
ATM,DNA_repair,0.447717450468995,0.0183063334724482,0.7778636853818024,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
ATM,DNA_repair,0.514432819027536,0.151929403420046,0.4209902990801619,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other
XRCC6,DNA_repair,-0.285821116421898,0.0945722607581792,0.2927483424502429,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
XRCC6,DNA_repair,-0.34129255618798,0.55398973054878,0.08754095562750185,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
ATR,DNA_repair,0.302717368231114,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
ATM,DNA_repair,0.428746621201244,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
ATR,DNA_repair,0.327105817849536,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
BCL2,apoptosis,0.793776829362397,1.12745100953721e-12,7.93776829362397,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell
BCL2,apoptosis,0.595238068163094,4.34783453678009e-51,5.95238068163094,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell
BCL2,apoptosis,0.578555078321826,1.68061502268592e-13,5.78555078321826,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell
BCL2,apoptosis,0.47580653840106,2.34253178975949e-13,4.7580653840106,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell
APAF1,apoptosis,0.27529680184225,5.05236065006372e-34,2.7529680184225,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte
CASP8,apoptosis,0.310521615288051,3.19021413896104e-07,2.0172043578870933,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other
BCL2,apoptosis,0.313763263054012,0.00629039994399443,0.6906938925533073,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell
BID,apoptosis,-0.344844564522496,0.014382215444754,0.635263763162641,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
BCL2,apoptosis,0.325249266253725,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk
ATM,cell_cycle_checkpoint,0.792716107620199,6.06297717214971e-56,7.9271610762019895,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell
ATM,cell_cycle_checkpoint,0.683371457532247,4.63217608356161e-34,6.83371457532247,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell
ATM,cell_cycle_checkpoint,0.6381929845689,3.13091339394592e-81,6.381929845688999,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell
ATM,cell_cycle_checkpoint,0.505733275689833,3.37717121646917e-132,5.0573327568983295,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell
RB1,cell_cycle_checkpoint,0.500920963373102,2.64029802783954e-34,5.00920963373102,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell
ATR,cell_cycle_checkpoint,0.419501773948361,1.36329841674805e-10,4.138556605445287,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell
ATM,cell_cycle_checkpoint,0.392825970032616,3.01322653285855e-31,3.92825970032616,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell
RB1,cell_cycle_checkpoint,0.36562836581967,1.36775968622788e-194,3.6562836581967,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk
ATM,cell_cycle_checkpoint,0.345612009199848,6.50743197701977e-116,3.4561200919984802,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),PBMC Pseudobulk
RB1,cell_cycle_checkpoint,0.323828610529616,1.75282072758817e-27,3.23828610529616,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte
ATR,cell_cycle_checkpoint,0.423728977831044,1.41331456625811e-07,2.902442296825451,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other
RB1,cell_cycle_checkpoint,0.513938035558891,1.96626784278424e-05,2.4187760374112472,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
ATR,cell_cycle_checkpoint,0.269016602686105,0.000110431862662352,1.0644733023327975,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell
ATM,cell_cycle_checkpoint,0.447717450468995,0.0183063334724482,0.7778636853818024,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
ATM,cell_cycle_checkpoint,0.514432819027536,0.151929403420046,0.4209902990801619,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other
ATR,cell_cycle_checkpoint,0.302717368231114,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
ATM,cell_cycle_checkpoint,0.428746621201244,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
ATR,cell_cycle_checkpoint,0.327105817849536,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
RB1,cell_cycle_checkpoint,0.25343677611557,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
SOD2,oxidative_stress,0.376286556983365,1.53609070310036e-10,3.692719411165522,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other
SOD1,oxidative_stress,-0.455083026830571,3.24121338046725e-07,2.9531668168657728,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
TXN,oxidative_stress,-0.571782695638896,0.000391274002850224,1.9483604030749233,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
PRDX1,oxidative_stress,-0.320141475413348,0.00340265443537901,0.7901674765203603,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
GPX4,oxidative_stress,-0.2965945789497,0.00289282435742883,0.7529581130578799,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
SOD2,oxidative_stress,-0.314768303314496,0.713620930981365,0.04612376131719441,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
SOD1,oxidative_stress,-0.255670640035524,1.0,-0.0,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
GPX4,oxidative_stress,-0.285172469856079,1.0,-0.0,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
SESN1,p53_pathway,0.33597696253731,1.86815237476548e-28,3.3597696253731,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell
SESN1,p53_pathway,0.26080239857143,0.000520827038975608,0.8562942045136162,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell
